2020-04-02 15:34:46 Debug: Notice (8): Undefined index: password in [C:\wamp\www\ser\api\plugins\api\controllers\users_controller.php, line 22]
2020-04-02 17:06:44 Debug: Notice (8): Undefined variable: REQUEST in [C:\wamp\www\ser\api\plugins\api\controllers\components\api.php, line 196]
2020-04-02 17:12:03 Debug: Notice (8): Undefined variable: _PUT in [C:\wamp\www\ser\api\plugins\api\controllers\components\api.php, line 198]
2020-04-02 17:12:26 Debug: Notice (8): Undefined variable: PUT in [C:\wamp\www\ser\api\plugins\api\controllers\components\api.php, line 198]
2020-04-02 17:14:45 Debug: Notice (8): Array to string conversion in [C:\wamp\www\ser\api\plugins\api\controllers\components\api.php, line 198]
2020-04-02 17:39:46 Debug: Notice (8): Undefined index: url in [C:\wamp\www\ser\api\plugins\api\libs\routes\slug_route.php, line 10]
2020-04-02 17:40:46 Debug: Notice (8): Undefined index: url in [C:\wamp\www\ser\api\plugins\api\libs\routes\slug_route.php, line 9]
2020-04-15 10:27:16 Debug: Notice (8): Undefined index: name in [C:\wamp\www\ser\api\controllers\students_controller.php, line 16]
2020-04-15 11:46:38 Debug: Notice (8): Undefined variable: gr in [C:\wamp\www\ser\api\vendors\fpdf17\second_sem_reportcard.php, line 125]
2020-04-15 11:46:38 Debug: Notice (8): Undefined variable: gr in [C:\wamp\www\ser\api\vendors\fpdf17\second_sem_reportcard.php, line 126]
2020-04-15 11:46:38 Debug: Notice (8): Undefined variable: gr in [C:\wamp\www\ser\api\vendors\fpdf17\second_sem_reportcard.php, line 127]
2020-04-15 11:46:38 Debug: Notice (8): Undefined variable: gr in [C:\wamp\www\ser\api\vendors\fpdf17\second_sem_reportcard.php, line 128]
2020-04-15 11:46:38 Debug: Notice (8): Undefined variable: gr in [C:\wamp\www\ser\api\vendors\fpdf17\second_sem_reportcard.php, line 129]
2020-04-15 11:57:36 Debug: Notice (8): Undefined variable: y1 in [C:\wamp\www\ser\api\vendors\fpdf17\second_sem_reportcard.php, line 214]
2020-04-15 11:57:36 Debug: Notice (8): Undefined variable: y1 in [C:\wamp\www\ser\api\vendors\fpdf17\second_sem_reportcard.php, line 215]
2020-04-16 18:20:17 Debug: Notice (8): Undefined variable: _STATUS in [C:\wamp\www\ser\api\controllers\reports_controller.php, line 460]
2020-04-16 18:23:19 Debug: Notice (8): Undefined index: SECTION in [C:\wamp\www\ser\api\vendors\fpdf17\second_sem_reportcard.php, line 425]
2020-04-17 17:51:10 Debug: Notice (8): Undefined variable: gen_ave in [C:\wamp\www\ser\api\views\reports\test_reportcard.ctp, line 36]
2020-04-17 17:51:10 Debug: Notice (8): Undefined variable: gen_ave_recom in [C:\wamp\www\ser\api\views\reports\test_reportcard.ctp, line 36]
2020-04-17 17:51:10 Debug: Notice (8): Undefined variable: gen_ave in [C:\wamp\www\ser\api\views\reports\test_reportcard.ctp, line 37]
2020-04-17 17:51:10 Debug: Notice (8): Undefined variable: gen_ave_recom in [C:\wamp\www\ser\api\views\reports\test_reportcard.ctp, line 37]
2020-04-17 18:00:50 Debug: Notice (8): Array to string conversion in [C:\wamp\www\ser\api\vendors\fpdf17\fpdf.php, line 585]
2020-04-17 18:02:02 Debug: Notice (8): Array to string conversion in [C:\wamp\www\ser\api\vendors\fpdf17\fpdf.php, line 585]
2020-04-17 18:33:24 Debug: Notice (8): Undefined index: midterm in [C:\wamp\www\ser\api\vendors\fpdf17\second_sem_reportcard.php, line 219]
2020-04-17 18:43:17 Debug: Notice (8): Undefined index: final in [C:\wamp\www\ser\api\vendors\fpdf17\second_sem_reportcard.php, line 229]
2020-04-17 18:43:17 Debug: Notice (8): Undefined index: final in [C:\wamp\www\ser\api\vendors\fpdf17\second_sem_reportcard.php, line 224]
2020-04-21 11:01:14 Debug: Notice (8): Undefined index: username in [C:\wamp\www\ser\api\plugins\api\controllers\users_controller.php, line 29]
2020-04-21 11:18:58 Debug: Notice (8): Undefined property: DelinquentStudentsController::$Leader in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 8]
2020-04-21 11:52:50 Debug: Notice (8): Undefined variable: students in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 13]
2020-04-21 12:32:14 Debug: Notice (8): Undefined property: View::$Paginator in [C:\wamp\www\ser\api\views\delinquent_students\index.ctp, line 5]
2020-04-21 13:03:53 Debug: Notice (8): Undefined variable: delinquentStudents in [C:\wamp\www\ser\api\views\delinquent_students\index.ctp, line 15]
2020-04-21 13:04:21 Debug: Notice (8): Undefined variable: students in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 29]
2020-04-21 13:30:32 Debug: Notice (8): Undefined property: View::$Paginator in [C:\wamp\www\ser\api\views\delinquent_students\index.ctp, line 5]
2020-04-21 21:28:04 Debug: Notice (8): Undefined variable: delinquentStudents in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 11]
2020-04-21 21:28:04 Debug: Notice (8): Undefined variable: delinquentStudents in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 35]
2020-04-21 21:29:59 Debug: Notice (8): Undefined index: Student in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 15]
